X,Y,id,left_fm,right_fm,min_offset,strat_offset
601776.5419775042,5632309.553103027,SIMPSON PASS THRUST,CmOd_SP,Cm_Ca,8217.0,015
601920.0059758725,5632228.920041312,SIMPSON PASS THRUST,CmOd_SP,Cm_Ca,8217.0,015
602013.2051965275,5632160.853216451,SIMPSON PASS THRUST,CmOd_SP,Cm_Ca,8217.0,015
602049.8813323977,5632126.2656948585,SIMPSON PASS THRUST,CmOd_SP,Cm_Ca,8217.0,015
602075.9402313004,5632094.077570867,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602145.831975149,5631997.3201476615,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602236.9684698525,5631851.032343463,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602311.2858002705,5631687.9254020415,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602358.6141887766,5631522.86268642,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602396.946278221,5631343.327639147,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602437.6252715645,5631158.707744835,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602496.2968766171,5630961.5712640975,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602553.4038498184,5630789.467978518,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602589.7802100842,5630688.161715722,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602629.2857566453,5630608.3683544565,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602700.4739483593,5630496.501228843,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602776.7470329802,5630377.984698771,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602839.7211883189,5630271.20245276,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602890.1787401888,5630180.84820887,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602914.4296733062,5630128.04380187,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602926.1639716369,5630086.191394605,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602939.8539870393,5630006.789202494,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602949.8052519455,5629909.806072069,SIMPSON PASS THRUST,Cm_L,Cm_Ca,6181.0,012
602950.9787023275,5629828.44810652,SIMPSON PASS THRUST,Cm_Su_l,Cm_Ca,5469.0,009
602950.8060178293,5629700.914632186,SIMPSON PASS THRUST,Cm_Su_l,Cm_Ca,5469.0,009
602949.632536605,5629583.180297993,SIMPSON PASS THRUST,Cm_Su_l,Cm_Ca,5469.0,009
602949.5950792682,5629549.227354785,SIMPSON PASS THRUST,Cm_Su_l,Cm_Ca,5469.0,009
597281.0222830661,5640167.864499737,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597381.2333580706,5640186.857207343,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597475.9982715119,5640195.921666856,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597544.3939085513,5640193.449520336,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597603.7250228662,5640180.26485613,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597672.1205405891,5640156.36763173,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597761.941236217,5640113.5173920635,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597847.6416791169,5640057.482434486,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
597917.6853320347,5640006.391791168,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598011.6262410277,5639948.708845321,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598135.232686872,5639876.19302427,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598234.0737218151,5639815.4857963305,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598309.7455058275,5639773.835786192,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598411.8277209515,5639724.086914904,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598507.4489612391,5639666.58493348,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598601.7780128277,5639592.930665791,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598702.5680011623,5639507.646826456,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598790.4361834353,5639408.7951488625,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598873.1356431796,5639286.684200423,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598930.6376756269,5639202.046448056,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
598968.1108653692,5639145.836735841,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
599010.3152309107,5639049.321390821,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
599045.5896178861,5638949.044387869,SIMPSON PASS THRUST,Dv_Pa,Cm_G,13913.5,031
599065.7848639386,5638864.951421594,SIMPSON PASS THRUST,Dv_Pa,Cm_G,13913.5,031
599083.2500485147,5638754.702886246,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
599102.3512886256,5638554.987762836,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
599119.0015250756,5638324.272478791,SIMPSON PASS THRUST,Dv_Pa,Pt_M,-1,032
599131.0087740266,5638178.00217207,SIMPSON PASS THRUST,Dv_Ss,Pt_M,-1,031
599143.8308723923,5638019.027108809,SIMPSON PASS THRUST,Dv_Ss,Pt_M,-1,031
599163.4791025224,5637853.108495875,SIMPSON PASS THRUST,Dv_Ss,Pt_M,-1,031
599178.1166882322,5637741.514724664,SIMPSON PASS THRUST,Dv_PMH,Pt_M,-1,030
599180.6259843314,5637622.414958144,SIMPSON PASS THRUST,Dv_PMH,Pt_M,-1,030
599170.7744486297,5637468.878062854,SIMPSON PASS THRUST,Dv_PMH,Pt_M,-1,030
599159.8611142877,5637356.106464118,SIMPSON PASS THRUST,Dv_PMH,Pt_M,-1,030
599151.5237086874,5637256.210561403,SIMPSON PASS THRUST,CmOd_SP,Pt_M,-1,018
599140.6103230226,5637127.675279404,SIMPSON PASS THRUST,CmOd_SP,Pt_M,-1,018
