X,Y,Z,code,type
521756.28409732087,7432425.247545533,341.38565,FA_31,syncline exposed
529337.8851526723,7425141.905053266,363.4552,FA_31,syncline exposed
532446.4331195332,7422290.495470898,349.0259,FA_31,syncline exposed
535655.4009732904,7421229.431165576,349.3083,FA_31,syncline exposed
541978.8730968356,7420580.629121856,343.68716,FA_31,syncline exposed
543566.5184103936,7419758.000000001,349.76486,FA_31,syncline exposed
399288.49641254806,7500219.580178256,422.87164,FA_34,anticline exposed
402719.3664834151,7496111.177361479,401.81693,FA_34,anticline exposed
404767.9900879876,7493953.046619317,403.2469,FA_34,anticline exposed
406140.49067807215,7492212.313866122,399.05502,FA_34,anticline exposed
408132.29042593174,7490002.922736464,394.10123,FA_34,anticline exposed
408852.01626242034,7489232.983176082,395.15692,FA_34,anticline exposed
409471.3155281266,7488513.257329632,389.95407,FA_34,anticline exposed
410257.992486769,7487308.134804573,390.1077,FA_34,anticline exposed
411496.59080729366,7486287.128137415,391.91092,FA_34,anticline exposed
412919.30499368464,7484964.8410124965,386.0687,FA_34,anticline exposed
415900.2392602423,7482617.797628268,384.00003,FA_34,anticline exposed
278190.00000000093,7668294.319548983,193.,FA_35,syncline exposed
280119.7263883706,7664870.071940399,199.,FA_35,syncline exposed
282962.1699736491,7659876.040113853,210.,FA_35,syncline exposed
287443.6600685688,7651623.750004136,210.,FA_35,syncline exposed
289971.16007920075,7647077.020022729,258.,FA_35,syncline exposed
291856.8743277816,7643515.217642095,234.,FA_35,syncline exposed
295247.6400347566,7636611.349994967,275.,FA_35,syncline exposed
296826.6704336349,7630859.582556076,221.,FA_35,syncline exposed
297668.1400262406,7623691.820071949,262.,FA_35,syncline exposed
299314.54713164177,7621422.648946071,276.,FA_35,syncline exposed
304832.6020661332,7616274.634897816,279.,FA_35,syncline exposed
305223.10603022575,7615804.4363873815,246.,FA_35,syncline exposed
329877.5603579102,7535839.275021815,405.,FA_37,anticline exposed
330445.3122684457,7532708.86517009,417.,FA_37,anticline exposed
330520.1139406044,7528729.889593376,422.,FA_37,anticline exposed
330701.8003894256,7523765.543891106,431.,FA_37,anticline exposed
483523.806281879,7475818.659312675,351.9742,FA_40,syncline exposed
487230.01742836833,7472585.564201733,355.02075,FA_40,syncline exposed
490402.8436532744,7470497.554647405,348.96036,FA_40,syncline exposed
492981.2847460228,7468391.755788706,347.90005,FA_40,syncline exposed
