X,Y,Z,azimuth,dip,polarity,formation
423193.1963,7515095.6435,457.82852,316.0,80.0,1,P__THc_stq
429869.77190000005,7514190.4926,395.1973,323.0,60.0,1,P__THc_stq
427755.6662999997,7525170.1909,370.77847,319.0,75.0,1,P__THc_stq
430557.37820000015,7522131.2786,341.08786000000003,344.0,45.0,1,P__THc_stq
430713.31219999964,7520065.8574,409.29626,444.0,20.0,1,P__THc_stq
433181.9264000002,7512031.2651,362.14938,304.0,65.0,1,P__THc_stq
440065.86870000046,7512071.9717,346.93699999999995,318.0,80.0,1,P__THc_stq
418165.8502000002,7535965.0496,391.92188,310.0,70.0,1,P__THc_stq
424858.92150000023,7516819.3199,373.97757,324.0,10.0,1,P__THc_stq
399065.0218000002,7520568.0174,396.53012,261.0,50.0,1,P__THc_stq
415863.39300000016,7517134.1968,404.82874,320.0,70.0,1,P__THc_stq
410951.8825000003,7610080.9914,270.7239,500.0,30.0,1,P__LAm_stq
419428.14049999975,7608821.6877,285.89096,460.0,60.0,1,P__LAm_stq
416865.2165999999,7612005.6796,271.26645,470.0,45.0,1,P__LAm_stq
397986.1004999997,7608301.3436,312.9692,490.0,40.0,1,P__LAw_stq
399627.9304999998,7602002.5457,314.90286000000003,385.0,30.0,1,P__LAw_stq
404916.6172000002,7607171.7335,302.2716,330.0,40.0,1,P__LAm_stq
401740.63129999954,7595485.8422,297.2524,300.0,70.0,1,P__LAm_stq
421273.6264000004,7607486.0895,327.17703,445.0,40.0,1,P__LAm_stq
429170.6220000005,7620097.1126,256.88678,500.0,75.0,1,P__LAw_stq
433544.14360000007,7605457.0525,264.1809,290.0,60.0,1,P__LAw_stq
437335.7394000003,7603765.9767,256.11523,300.0,70.0,1,P__LAw_stq
443483.1070999997,7601629.4916,250.54578999999998,325.0,35.0,1,P__LAw_stq
446652.4221000001,7598025.1453,273.09515,520.0,20.0,1,P__LAw_stq
417430.9804999996,7583815.5776,359.04547,315.0,80.0,1,P__LAm_stq
419733.7561999997,7574991.9136,339.04357999999996,490.0,75.0,1,CP__pa_sepg
434694.7275,7591703.632,301.0,430.0,75.0,1,P__LAw_stq
432252.6629999997,7585337.4878,273.0,275.0,65.0,1,P__LAm_stq
435228.1015999997,7590579.7908,287.0,380.0,30.0,1,P__LAw_stq
438000.76680000033,7581091.902000001,281.0,485.0,80.0,1,P__LAm_stq
430862.99909999967,7579846.0656,295.0,490.0,80.0,1,P__LAm_stq
424016.06230000034,7575358.449,338.001,265.0,60.0,1,CP__pa_sepg
425979.52969999984,7574874.3976,322.0,265.0,60.0,1,CP__pa_sepg
427019.2400000002,7573989.1078,328.0,230.0,60.0,1,CP__pa_sepg
455971.50980000006,7454251.3981,442.0,472.0,45.0,1,P__THt_sta
462977.4978999998,7453309.3592,438.0,440.0,40.0,1,P__THt_sta
452626.8760000002,7443125.998,386.0,471.0,25.0,1,P__THc_stq
