X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
537484.2345968201,7502186.14398269,Marra_Mamba_Iron_Formation,1053.7377322623781,194,0.7892505237260491,0.6140713401536966,534413.8778960516,7506132.39660132,540554.5912975885,7498239.891364059,10.609974311617833,full
537151.78487281,7501157.135138335,Marra_Mamba_Iron_Formation,710.8266317709421,91,0.6259559766721892,0.7798583943693661,533252.4929009632,7504286.915021695,541051.0768446568,7498027.355254974,7.391511158165258,full
534794.12882174,7500848.364012442,Marra_Mamba_Iron_Formation,368.54903015066657,38,0.9955971901584344,-0.09373491851295468,535262.8034143049,7505826.349963234,534325.4542291752,7495870.378061649,6.019867903784899,full
533398.540996195,7500516.824355229,Marra_Mamba_Iron_Formation,517.0039387353523,137,0.9607625664770078,0.27737211622027425,532011.6804150937,7505320.637187614,534785.4015772964,7495713.0115228435,15.448938261005935,full
531362.5394642651,7500720.83522844,Marra_Mamba_Iron_Formation,372.34131428748043,174,0.9917135216400632,0.1284690273811711,530720.1943273592,7505679.40283664,532004.884601171,7495762.26762024,27.991936135505505,full
529030.778694384,7500199.7410713425,Marra_Mamba_Iron_Formation,872.0406975305868,463,0.9218254974398375,0.3876051499526237,527092.7529446209,7504808.868558542,530968.8044441472,7495590.613584143,32.11852652669396,full
562344.57936282,7490951.34059388,Boolgeeda_Iron_Formation,635.4631929177131,427,-0.9949763623057738,-0.10011013161897908,562845.130020915,7485976.458782352,561844.0287047251,7495926.2224054085,42.275835608366016,full
560463.579465495,7485079.083282695,Boolgeeda_Iron_Formation,699.7849267284743,120,0.9962948385349282,0.08600345753899442,560033.5621778,7490060.557475369,560893.5967531899,7480097.609090021,9.889684546941567,full
559119.699761265,7485207.069412515,Boolgeeda_Iron_Formation,669.0078324939077,270,0.96061009878849,-0.27789969072593035,560509.1982148946,7490010.119906457,557730.2013076353,7480404.018918572,23.81290806864814,full
556713.75592295,7485846.04057605,Boolgeeda_Iron_Formation,495.74729232408,349,0.9641054045149494,-0.265519809025741,558041.3549680787,7490666.567598625,555386.1568778213,7481025.513553475,44.79430222407363,full
552610.404367395,7487427.76068372,Boolgeeda_Iron_Formation,657.5207093061035,519,0.8836999583489735,-0.4680538255521714,554950.6734951559,7491846.260475465,550270.1352396341,7483009.260891975,52.19580963461925,full
550786.85881388,7488453.12795862,Boolgeeda_Iron_Formation,413.9452931887624,284,0.8814260939955567,-0.4723219673313278,553148.4686505366,7492860.258428598,548425.2489772234,7484045.997488642,43.501634777700275,full
549490.845937755,7489510.47029242,Boolgeeda_Iron_Formation,820.6617115362509,300,-0.3506471568349489,-0.9365076462066748,554173.3841687883,7487757.234508245,544808.3077067216,7491263.706076595,21.476240934738385,full
550775.76079151,7490271.89894948,Boolgeeda_Iron_Formation,438.31011136128075,157,-0.9937204476907904,-0.11189133943793682,551335.2174886997,7485303.296711026,550216.3040943203,7495240.501187934,21.121832779397707,full
552869.619635975,7490672.75180947,Boolgeeda_Iron_Formation,345.96276360978777,148,-0.9284841781771136,-0.37137195757726543,554726.4794238614,7486030.330918585,551012.7598480886,7495315.172700356,25.48334806548347,full
554796.6809992499,7490651.76125026,Boolgeeda_Iron_Formation,383.72422444631445,167,-0.9937819640194152,0.11134364817857313,554239.962758357,7485682.851430163,555353.3992401428,7495620.671070358,25.800621187672718,full
557378.0149577849,7490520.044490605,Boolgeeda_Iron_Formation,372.795698752555,177,-0.9994279490411568,0.03381973795562165,557208.9162680068,7485522.904745399,557547.113647563,7495517.18423581,28.49219001853031,full
560228.17018092,7490902.319475873,Boolgeeda_Iron_Formation,588.0889600450264,405,-0.9389055791812378,-0.3441748296757685,561949.0443292989,7486207.791579967,558507.2960325412,7495596.847371779,43.64554259985807,full
561273.0752669349,7491112.32556575,Boolgeeda_Iron_Formation,651.0625034282601,450,-0.997001059361184,0.07738790365862376,560886.1357486418,7486127.320268944,561660.0147852281,7496097.330862556,43.83907366380243,full
561061.19998684,7478939.82860736,Mount_McRae_Shale_and_Mount_Sylvia_Formation,926.1091370763156,72,0.5238608911974378,-0.8518038310983499,565320.2191423317,7481559.133063347,556802.1808313483,7476320.524151373,4.501505557577616,full
562092.236037625,7482928.10958807,Weeli_Wolli_Formation,1802.0620385437728,108,0.9940890975924058,-0.10856733416601752,562635.072708455,7487898.555076032,561549.399366795,7477957.664100108,3.4652857795295233,full
559233.6345087499,7483482.575397195,Weeli_Wolli_Formation,1317.0124043555581,515,0.9616116456554836,-0.27441399916868703,560605.7045045934,7488290.633625473,557861.5645129065,7478674.517168918,23.043215834701925,full
555718.903841545,7484673.534226402,Weeli_Wolli_Formation,973.5468664662475,685,0.8813305633151881,-0.4725001991179826,558081.4048371349,7489080.187042978,553356.4028459551,7480266.881409826,44.742994312625505,full
553529.30177137,7485589.264317505,Weeli_Wolli_Formation,865.578731846751,643,0.8587478311283427,-0.5123984411884637,556091.2939773123,7489883.003473147,550967.3095654277,7481295.525161863,48.012581279380576,full
551584.034485705,7486414.50476229,Weeli_Wolli_Formation,1110.2318297332856,841,0.9503017214624436,-0.3113304324757151,553140.6866480835,7491166.013369602,550027.3823233264,7481662.996154978,49.30476983183931,full
550230.519956985,7487293.735950735,Weeli_Wolli_Formation,950.2161876357131,694,0.9790347811528496,-0.2036931449337252,551248.9856816536,7492188.9098565,549212.0542323164,7482398.562044971,46.97903221408067,full
548614.666485775,7487843.47036708,Weeli_Wolli_Formation,1323.4933830459645,826,0.9520940177733008,-0.3058054631956291,550143.6938017532,7492603.940455946,547085.6391697968,7483083.000278213,38.64187768417892,full
546254.139230385,7489530.93947456,Weeli_Wolli_Formation,2659.7600598543186,867,0.08708852137460946,-0.9962005769145008,551235.1421149574,7489966.382081433,541273.1363458125,7489095.496867687,19.043136181387567,full
551128.26324862,7491466.82595788,Weeli_Wolli_Formation,853.3796415818508,450,-0.9654723599795488,-0.26050551263940763,552430.790811817,7486639.464157983,549825.7356854229,7496294.187757778,31.900564447407234,full
555095.42788593,7491675.78107784,Weeli_Wolli_Formation,665.5634318427187,324,-0.9994097546895648,-0.03435319826950332,555267.1938772775,7486678.732304392,554923.6618945826,7496672.829851288,29.18116889654184,full
560539.6013474499,7492559.55953338,Weeli_Wolli_Formation,984.1022729225319,665,-0.9879875312813388,-0.15453361457173478,561312.2694203086,7487619.621876974,559766.9332745912,7497499.497189786,42.51630041413904,full
541605.4437436049,7489811.405003805,Mount_McRae_Shale_and_Mount_Sylvia_Formation,702.6985650676108,257,0.3011511424210199,-0.9535764203347914,546373.3258452789,7491317.16071591,536837.561641931,7488305.6492917,21.497520689580384,full
542031.830849675,7490607.904445505,Mount_McRae_Shale_and_Mount_Sylvia_Formation,511.75305575126737,160,-0.8003820967170366,-0.5994901994652124,545029.281847001,7486605.99396192,539034.3798523489,7494609.8149290895,18.24766527317847,full
542985.524318275,7491012.14998165,Mount_McRae_Shale_and_Mount_Sylvia_Formation,307.19100235309867,83,-0.9281502359878188,-0.3722057756614701,544846.5531965824,7486371.39880171,541124.4954399677,7495652.901161589,15.790662104960589,full
