WKT	STATION_ID	DIP	STRIKE
"POINT (603692.2886008803 5621397.666007607)"	"Sim108"	"17"	"40"
"POINT (602673.6407275918 5621199.228096475)"	"Sim109"	"11"	"5"
"POINT (602398.4734755765 5621241.561459946)"	"Sim110"	"15"	"33"
"POINT (601979.1080255003 5621466.457754344)"	"Sim111"	"13"	"27"
"POINT (601217.1065886273 5621111.91538556)"	"Sim112"	"11"	"273"
"POINT (601663.7241136472 5619896.417148652)"	"Sim113"	"7"	"330"
"POINT (601354.160969743 5619253.478450912)"	"Sim114"	"4"	"30"
"POINT (600145.0127136752 5620568.460056923)"	"Sim115"	"9"	"340"
"POINT (599967.7415274287 5620692.814589646)"	"Sim116"	"9"	"330"
"POINT (600047.1166978924 5619565.687363667)"	"Sim117"	"15"	"322"
"POINT (598929.1875114399 5619945.451740812)"	"Sim118"	"13"	"308"
"POINT (599267.9172716863 5619158.228202018)"	"Sim119"	"11"	"300"
"POINT (598238.6859650998 5620121.313518491)"	"Sim120"	"10"	"296"
"POINT (596472.5886746289 5619473.082962928)"	"Sim121"	"3"	"190"
"POINT (594846.7208709344 5620397.009850294)"	"Sim125"	"59"	"175"
"POINT (594576.8453927037 5619767.300309419)"	"Sim129"	"76"	"155"
"POINT (594494.8244112295 5619650.883408292)"	"Sim130"	"87"	"168"
"POINT (596447.4531983256 5618121.853189112)"	"Sim131"	"13"	"168"
"POINT (596616.7868787757 5618259.436825621)"	"Sim132"	"17"	"145"
"POINT (596780.8288720329 5618394.374630478)"	"Sim133"	"15"	"145"
"POINT (596926.3500355785 5618635.145883721)"	"Sim134"	"10"	"142"
"POINT (597604.9451639601 5618739.743154001)"	"Sim135"	"11"	"153"
"POINT (598134.175421074 5618357.332938533)"	"Sim136"	"5"	"112"
"POINT (600283.9192840866 5618023.957213438)"	"Sim137"	"8"	"15"
"POINT (600574.9615306646 5618084.81142219)"	"Sim138"	"18"	"293"
"POINT (600691.3783720627 5618206.520010443)"	"Sim139"	"10"	"295"
"POINT (600670.211692887 5618476.395608285)"	"Sim140"	"18"	"320"
"POINT (600916.2746706494 5618296.478612334)"	"Sim141"	"19"	"315"
"POINT (599408.1467049024 5617095.79698257)"	"Sim142"	"12"	"20"
"POINT (599371.1049208746 5616952.92166383)"	"Sim143"	"16"	"113"
"POINT (599259.9797202261 5616852.379780893)"	"Sim144"	"9"	"95"
"POINT (599066.8335033704 5616614.254367775)"	"Sim145"	"13"	"70"
"POINT (597823.2893676311 5616728.025444072)"	"Sim146"	"14"	"120"
"POINT (597873.560282575 5616960.859201697)"	"Sim147"	"29"	"140"
"POINT (598058.7689801146 5617307.464026529)"	"Sim149"	"5"	"87"
"POINT (598958.9435765137 5599802.921717366)"	"LDB26c"	"38"	"150"
"POINT (598864.2718913972 5599821.546734849)"	"LDB26d"	"38"	"150"
"POINT (603085.7980889101 5603139.772655233)"	"LDR56A-0"	"45"	"145"
"POINT (604779.6088144066 5609686.325855239)"	"LDK63-1"	"7"	"45"
"POINT (594241.9723891041 5611525.908387795)"	"LDR-J2B"	"30"	"340"
"POINT (596987.2701885973 5616258.731051474)"	"LDR83-1"	"70"	"140"
"POINT (587406.9999975762 5628421.00001424)"	"07MBB105"	"65"	"165"
"POINT (588221.9999974046 5627675.000037528)"	"07MBB106"	"44"	"168"
"POINT (588497.9999793826 5627395.00004648)"	"07MBB107"	"85"	"165"
