WKT	OBJECTID	dip	strike
"POINT (343767.2720999997 7573157.1093)"	"174"	"27.0"	"340.0"
"POINT (344627.1851000004 7569996.0971)"	"175"	"38.0"	"345.0"
"POINT (344650.0626999997 7568277.5954)"	"176"	"45.0"	"351.0"
"POINT (344208.5614 7568549.0988)"	"177"	"20.0"	"332.0"
"POINT (328143.3572000004 7592497.4678)"	"178"	"5.0"	"203.0"
"POINT (324635.7399000004 7591308.5014)"	"179"	"20.0"	"223.0"
"POINT (327200.0449999999 7592403.9797)"	"180"	"30.0"	"209.0"
"POINT (330816.7408999996 7590134.8541)"	"181"	"40.0"	"309.0"
"POINT (329996.3441000003 7585087.2881)"	"182"	"30.0"	"186.0"
"POINT (328563.4744999995 7585097.8107)"	"183"	"5.0"	"238.0"
"POINT (344493.9467000002 7586149.6389)"	"184"	"44.0"	"333.0"
"POINT (342445.7429 7579766.1544)"	"185"	"34.0"	"329.0"
"POINT (342244.6501000002 7579460.1542)"	"186"	"35.0"	"342.0"
"POINT (342400.2507999996 7578262.1448)"	"187"	"38.0"	"319.0"
"POINT (342753.0421000002 7576087.1302)"	"188"	"32.0"	"353.0"
"POINT (343178.2685000002 7574070.6177)"	"189"	"35.0"	"311.0"
"POINT (343757.5588999996 7569967.1032)"	"190"	"80.0"	"276.0"
"POINT (334671.8535000002 7618350.3608)"	"191"	"40.0"	"338.0"
"POINT (334539.0414000005 7617893.8637)"	"192"	"30.0"	"338.0"
"POINT (343151.5747999996 7617769.7334)"	"193"	"40.0"	"328.0"
"POINT (343726.2619000003 7617557.7288)"	"194"	"60.0"	"320.0"
"POINT (341702.8521999996 7616765.7402)"	"195"	"35.0"	"320.0"
"POINT (334879.9721999997 7616868.3567)"	"196"	"25.0"	"334.0"
"POINT (335897.6114999996 7615233.3337)"	"197"	"25.0"	"315.0"
"POINT (336405.915 7614279.821)"	"198"	"45.0"	"332.0"
"POINT (336216.5125000002 7614779.326)"	"199"	"30.0"	"337.0"
"POINT (340523.8156000003 7615191.2428)"	"200"	"75.0"	"326.0"
"POINT (341682.9389000004 7614459.7317)"	"201"	"70.0"	"353.0"
"POINT (342281.5946000004 7614216.7264)"	"202"	"15.0"	"319.0"
"POINT (336364.4418000001 7612541.8199)"	"203"	"43.0"	"350.0"
"POINT (336769.1847999999 7611805.3089)"	"204"	"28.0"	"314.0"
